"jaar","code","provincie"
2021,"0345","Utrecht"
2021,"0717","Zeeland"
2021,"0861","Noord-Brabant"
2021,"0453","Noord-Holland"
2021,"0983","Limburg"
2021,"0984","Limburg"
2021,"1961","Utrecht"
2021,"0622","Zuid-Holland"
2021,"0096","Fryslân"
2021,"0718","Zeeland"
2021,"0986","Limburg"
2021,"0626","Zuid-Holland"
2021,"0285","Gelderland"
2021,"0865","Noord-Brabant"
2021,"1949","Fryslân"
2021,"0866","Noord-Brabant"
2021,"0867","Noord-Brabant"
2021,"0627","Zuid-Holland"
2021,"0289","Gelderland"
2021,"0629","Zuid-Holland"
2021,"0852","Noord-Holland"
2021,"0988","Limburg"
2021,"0457","Noord-Holland"
2021,"1960","Gelderland"
2021,"0668","Gelderland"
2021,"1969","Groningen"
2021,"1701","Drenthe"
2021,"0293","Gelderland"
2021,"1950","Groningen"
2021,"1783","Zuid-Holland"
2021,"0098","Fryslân"
2021,"0614","Zuid-Holland"
2021,"0189","Overijssel"
2021,"0296","Gelderland"
2021,"1696","Noord-Holland"
2021,"0352","Utrecht"
2021,"0294","Gelderland"
2021,"0873","Noord-Brabant"
2021,"0632","Utrecht"
2021,"1690","Drenthe"
2021,"0880","Noord-Holland"
2021,"0351","Utrecht"
2021,"0479","Noord-Holland"
2021,"0297","Gelderland"
2021,"0473","Noord-Holland"
2021,"0050","Flevoland"
2021,"0355","Utrecht"
2021,"0299","Gelderland"
2021,"0637","Zuid-Holland"
2021,"0638","Zuid-Holland"
2021,"1892","Zuid-Holland"
2021,"0879","Noord-Brabant"
2021,"0301","Gelderland"
2021,"1896","Overijssel"
2021,"0642","Zuid-Holland"
2021,"0193","Overijssel"
2022,"1680","Drenthe"
2022,"0358","Noord-Holland"
2022,"0197","Gelderland"
2022,"0059","Fryslân"
2022,"0482","Zuid-Holland"
2022,"0613","Zuid-Holland"
2022,"0361","Noord-Holland"
2022,"0141","Overijssel"
2022,"0034","Flevoland"
2022,"0484","Zuid-Holland"
2022,"1723","Noord-Brabant"
2022,"1959","Noord-Brabant"
2022,"0060","Fryslân"
2022,"0307","Utrecht"
2022,"0362","Noord-Holland"
2022,"0363","Noord-Holland"
2022,"0200","Gelderland"
2022,"0202","Gelderland"
2022,"0106","Drenthe"
2022,"0743","Noord-Brabant"
2022,"0744","Noord-Brabant"
2022,"0308","Utrecht"
